Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Parameter17                                             (8,)   512.00B
Parameter17.grad                                        (8,)   512.00B
Tensor18                                         (1, 111709)   436.50K
Tensor19                                              (8, 1)   512.00B
Tensor20                                                (8,)   512.00B
Tensor21                                              (8, 8)   512.00B
Tensor22                                                (8,)   512.00B
Tensor23                                              (2, 8)   512.00B
Tensor24                                                (2,)   512.00B
Tensor25                                              (8, 1)   512.00B
Tensor26                                                (8,)   512.00B
Tensor27                                              (8, 8)   512.00B
Tensor28                                                (8,)   512.00B
Tensor29                                              (2, 8)   512.00B
Tensor30                                                (2,)   512.00B
Tensor31                                              (8, 1)   512.00B
Tensor32                                                (8,)   512.00B
Tensor33                                              (8, 8)   512.00B
Tensor34                                                (8,)   512.00B
Tensor35                                              (2, 8)   512.00B
Tensor36                                                (2,)   512.00B
Tensor37                                              (8, 1)   512.00B
Tensor38                                                (8,)   512.00B
Tensor39                                              (8, 8)   512.00B
Tensor40                                                (8,)   512.00B
Tensor41                                              (2, 8)   512.00B
Tensor42                                                (2,)   512.00B
Tensor43                                              (8, 1)   512.00B
Tensor44                                                (8,)   512.00B
Tensor45                                              (8, 8)   512.00B
Tensor46                                                (8,)   512.00B
Tensor47                                              (2, 8)   512.00B
Tensor48                                                (2,)   512.00B
Tensor49                                              (8, 1)   512.00B
Tensor50                                              (8, 1)   512.00B
Tensor51                                              (8, 1)   512.00B
Tensor52                                                (8,)   512.00B
Tensor53                                                (8,)   512.00B
Tensor54                                                (8,)   512.00B
Tensor55                                              (8, 8)   512.00B
Tensor56                                              (8, 8)   512.00B
Tensor57                                              (8, 8)   512.00B
Tensor58                                                (8,)   512.00B
Tensor59                                                (8,)   512.00B
Tensor60                                                (8,)   512.00B
Tensor61                                              (2, 8)   512.00B
Tensor62                                              (2, 8)   512.00B
Tensor63                                              (2, 8)   512.00B
Tensor64                                                (2,)   512.00B
Tensor65                                                (2,)   512.00B
Tensor66                                                (2,)   512.00B
Tensor67                                              (8, 1)   512.00B
Tensor68                                              (8, 1)   512.00B
Tensor69                                              (8, 1)   512.00B
Tensor70                                                (8,)   512.00B
Tensor71                                                (8,)   512.00B
Tensor72                                                (8,)   512.00B
Tensor73                                              (8, 8)   512.00B
Tensor74                                              (8, 8)   512.00B
Tensor75                                              (8, 8)   512.00B
Tensor76                                                (8,)   512.00B
Tensor77                                                (8,)   512.00B
Tensor78                                                (8,)   512.00B
Tensor79                                              (2, 8)   512.00B
Tensor80                                              (2, 8)   512.00B
Tensor81                                              (2, 8)   512.00B
Tensor82                                                (2,)   512.00B
Tensor83                                                (2,)   512.00B
Tensor84                                                (2,)   512.00B
Tensor85                                              (8, 1)   512.00B
Tensor86                                              (8, 1)   512.00B
Tensor87                                              (8, 1)   512.00B
Tensor88                                                (8,)   512.00B
Tensor89                                                (8,)   512.00B
Tensor90                                                (8,)   512.00B
Tensor91                                              (8, 8)   512.00B
Tensor92                                              (8, 8)   512.00B
Tensor93                                              (8, 8)   512.00B
Tensor94                                                (8,)   512.00B
Tensor95                                                (8,)   512.00B
Tensor96                                                (8,)   512.00B
Tensor97                                              (2, 8)   512.00B
Tensor98                                              (2, 8)   512.00B
Tensor99                                              (2, 8)   512.00B
Tensor100                                               (2,)   512.00B
Tensor101                                               (2,)   512.00B
Tensor102                                               (2,)   512.00B
Tensor103                                             (8, 1)   512.00B
Tensor104                                             (8, 1)   512.00B
Tensor105                                             (8, 1)   512.00B
Tensor106                                               (8,)   512.00B
Tensor107                                               (8,)   512.00B
Tensor108                                               (8,)   512.00B
Tensor109                                             (8, 8)   512.00B
Tensor110                                             (8, 8)   512.00B
Tensor111                                             (8, 8)   512.00B
Tensor112                                               (8,)   512.00B
