Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Parameter17                                       (256, 256)   256.00K
Parameter18                                           (256,)     1.00K
Tensor19                                          (256, 256)   256.00K
Tensor20                                              (256,)     2.00K
Parameter21                                       (256, 256)   256.00K
Parameter22                                           (256,)     1.00K
Tensor23                                          (256, 256)   256.00K
Tensor24                                              (256,)     2.00K
Parameter25                                         (2, 256)     2.00K
Parameter26                                             (2,)   512.00B
Tensor27                                            (2, 256)     2.00K
Tensor28                                                (2,)   512.00B
Tensor29                                                (1,)   512.00B
Tensor30                                                (1,)   512.00B
Tensor31                                           (111709,)   436.50K
Tensor32                                           (111709,)   436.50K
Parameter33                                       (9975614,)    38.05M
Parameter34                                           (893,)     3.50K
Tensor35                                        (2, 9975614)   152.22M
Parameter36                                           (893,)     3.50K
Parameter37                                           (893,)     3.50K
Parameter38                                         (56973,)   223.00K
Parameter39                                           (638,)     2.50K
Tensor40                                          (2, 56973)   890.50K
Parameter41                                           (638,)     2.50K
Parameter42                                           (638,)     2.50K
Parameter43                                         (35600,)   139.50K
Parameter44                                           (558,)     2.50K
Tensor45                                          (2, 35600)   556.50K
Parameter46                                           (558,)     2.50K
Parameter47                                           (558,)     2.50K
Parameter48                                         (15568,)    61.00K
Parameter49                                           (279,)     1.50K
Tensor50                                          (2, 15568)   243.50K
Parameter51                                           (279,)     1.50K
Parameter52                                           (279,)     1.50K
Parameter53                                          (7784,)    30.50K
Parameter54                                           (279,)     1.50K
Tensor55                                           (2, 7784)   122.00K
Tensor56                                                (1,)   512.00B
Tensor57                                           (1000, 1)     4.00K
Tensor58                                           (1000, 1)     4.00K
Tensor59                                           (1000, 1)     4.00K
Tensor60                                           (1000, 1)     4.00K
Tensor61                                           (1000, 1)     4.00K
Tensor62                                           (1000, 1)     4.00K
Tensor63                                           (1000, 1)     4.00K
Tensor64                                                (1,)   512.00B
Parameter65                                           (8, 1)   512.00B
Parameter65.grad                                      (8, 1)   512.00B
Parameter66                                             (8,)   512.00B
Parameter66.grad                                        (8,)   512.00B
Tensor67                                              (8, 1)   512.00B
Parameter68                                           (8, 8)   512.00B
Parameter68.grad                                      (8, 8)   512.00B
Parameter69                                             (8,)   512.00B
Parameter69.grad                                        (8,)   512.00B
Tensor70                                              (8, 8)   512.00B
Tensor71                                           (1000, 1)     4.00K
Tensor72                                           (1000, 1)     0.00B
Tensor73                                           (1000, 1)     4.00K
Tensor74                                           (1000, 1)     0.00B
Tensor75                                           (1000, 1)     4.00K
Tensor76                                           (1000, 1)     0.00B
Tensor77                                           (1000, 1)     4.00K
Tensor78                                           (1000, 1)     0.00B
Tensor79                                           (1000, 1)     4.00K
Tensor80                                           (1000, 1)     0.00B
Tensor81                                           (1000, 1)     4.00K
Tensor82                                           (1000, 1)     0.00B
Tensor83                                           (1000, 1)     4.00K
Tensor84                                           (1000, 1)     0.00B
Tensor85                                           (1000, 1)     0.00B
Parameter86                                           (2, 8)   512.00B
Parameter86.grad                                      (2, 8)   512.00B
Parameter87                                             (2,)   512.00B
Parameter87.grad                                        (2,)   512.00B
Tensor88                                              (2, 8)   512.00B
Tensor89                                                (1,)   512.00B
Tensor90                                                (1,)   512.00B
Tensor91                                                (1,)   512.00B
Parameter92                                           (8, 1)   512.00B
Parameter92.grad                                      (8, 1)   512.00B
Parameter93                                             (8,)   512.00B
Parameter93.grad                                        (8,)   512.00B
Tensor94                                              (8, 1)   512.00B
Parameter95                                           (8, 8)   512.00B
Parameter95.grad                                      (8, 8)   512.00B
Parameter96                                             (8,)   512.00B
Parameter96.grad                                        (8,)   512.00B
Tensor97                                              (8, 8)   512.00B
Parameter98                                           (2, 8)   512.00B
Parameter98.grad                                      (2, 8)   512.00B
