Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Parameter17                                           (2, 8)   512.00B
Parameter17.grad                                      (2, 8)   512.00B
Parameter18                                             (2,)   512.00B
Parameter18.grad                                        (2,)   512.00B
Tensor19                                              (2, 8)   512.00B
Tensor20                                                (1,)   512.00B
Tensor21                                                (1,)   512.00B
Tensor22                                                (1,)   512.00B
Parameter23                                           (8, 1)   512.00B
Parameter23.grad                                      (8, 1)   512.00B
Parameter24                                             (8,)   512.00B
Parameter24.grad                                        (8,)   512.00B
Tensor25                                              (8, 1)   512.00B
Parameter26                                           (8, 8)   512.00B
Parameter26.grad                                      (8, 8)   512.00B
Parameter27                                             (8,)   512.00B
Parameter27.grad                                        (8,)   512.00B
Tensor28                                              (8, 8)   512.00B
Parameter29                                           (2, 8)   512.00B
Parameter29.grad                                      (2, 8)   512.00B
Parameter30                                             (2,)   512.00B
Parameter30.grad                                        (2,)   512.00B
Tensor31                                              (2, 8)   512.00B
Tensor32                                                (1,)   512.00B
Tensor33                                                (1,)   512.00B
Tensor34                                                (1,)   512.00B
Parameter35                                           (8, 1)   512.00B
Parameter35.grad                                      (8, 1)   512.00B
Parameter36                                             (8,)   512.00B
Parameter36.grad                                        (8,)   512.00B
Tensor37                                              (8, 1)   512.00B
Parameter38                                           (8, 8)   512.00B
Parameter38.grad                                      (8, 8)   512.00B
Parameter39                                             (8,)   512.00B
Parameter39.grad                                        (8,)   512.00B
Tensor40                                              (8, 8)   512.00B
Parameter41                                           (2, 8)   512.00B
Parameter41.grad                                      (2, 8)   512.00B
Parameter42                                             (2,)   512.00B
Parameter42.grad                                        (2,)   512.00B
Tensor43                                              (2, 8)   512.00B
Tensor44                                         (1, 111709)   436.50K
Tensor45                                              (8, 1)   512.00B
Tensor46                                                (8,)   512.00B
Tensor47                                              (8, 8)   512.00B
Tensor48                                                (8,)   512.00B
Tensor49                                              (2, 8)   512.00B
Tensor50                                                (2,)   512.00B
Tensor51                                              (8, 1)   512.00B
Tensor52                                                (8,)   512.00B
Tensor53                                              (8, 8)   512.00B
Tensor54                                                (8,)   512.00B
Tensor55                                              (2, 8)   512.00B
Tensor56                                                (2,)   512.00B
Tensor57                                              (8, 1)   512.00B
Tensor58                                                (8,)   512.00B
Tensor59                                              (8, 8)   512.00B
Tensor60                                                (8,)   512.00B
Tensor61                                              (2, 8)   512.00B
Tensor62                                                (2,)   512.00B
Tensor63                                              (8, 1)   512.00B
Tensor64                                                (8,)   512.00B
Tensor65                                              (8, 8)   512.00B
Tensor66                                                (8,)   512.00B
Tensor67                                              (2, 8)   512.00B
Tensor68                                                (2,)   512.00B
Tensor69                                              (8, 1)   512.00B
Tensor70                                                (8,)   512.00B
Tensor71                                              (8, 8)   512.00B
Tensor72                                                (8,)   512.00B
Tensor73                                              (2, 8)   512.00B
Tensor74                                                (2,)   512.00B
Tensor75                                              (8, 1)   512.00B
Tensor76                                              (8, 1)   512.00B
Tensor77                                              (8, 1)   512.00B
Tensor78                                                (8,)   512.00B
Tensor79                                                (8,)   512.00B
Tensor80                                                (8,)   512.00B
Tensor81                                              (8, 8)   512.00B
Tensor82                                              (8, 8)   512.00B
Tensor83                                              (8, 8)   512.00B
Tensor84                                                (8,)   512.00B
Tensor85                                                (8,)   512.00B
Tensor86                                                (8,)   512.00B
Parameter17.grad                                      (2, 8)     0.00B
Tensor87                                              (2, 8)   512.00B
Tensor88                                              (2, 8)   512.00B
Parameter18.grad                                        (2,)     0.00B
Tensor89                                                (2,)   512.00B
Tensor90                                                (2,)   512.00B
Parameter23.grad                                      (8, 1)     0.00B
Tensor91                                              (8, 1)   512.00B
Tensor92                                              (8, 1)   512.00B
Parameter24.grad                                        (8,)     0.00B
