Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Parameter152                                          (2, 8)   512.00B
Parameter152.grad                                     (2, 8)   512.00B
Parameter153                                            (2,)   512.00B
Parameter153.grad                                       (2,)   512.00B
Tensor154                                             (2, 8)   512.00B
Tensor155                                               (1,)   512.00B
Tensor156                                               (1,)   512.00B
Tensor157                                               (1,)   512.00B
Parameter158                                          (8, 1)   512.00B
Parameter158.grad                                     (8, 1)   512.00B
Parameter159                                            (8,)   512.00B
Parameter159.grad                                       (8,)   512.00B
Tensor160                                             (8, 1)   512.00B
Parameter161                                          (8, 8)   512.00B
Parameter161.grad                                     (8, 8)   512.00B
Parameter162                                            (8,)   512.00B
Parameter162.grad                                       (8,)   512.00B
Tensor163                                             (8, 8)   512.00B
Parameter164                                          (2, 8)   512.00B
Parameter164.grad                                     (2, 8)   512.00B
Parameter165                                            (2,)   512.00B
Parameter165.grad                                       (2,)   512.00B
Tensor166                                             (2, 8)   512.00B
Tensor167                                        (1, 111709)   436.50K
Tensor168                                             (8, 1)   512.00B
Tensor169                                               (8,)   512.00B
Tensor170                                             (8, 8)   512.00B
Tensor171                                               (8,)   512.00B
Tensor172                                             (2, 8)   512.00B
Tensor173                                               (2,)   512.00B
Tensor174                                             (8, 1)   512.00B
Tensor175                                               (8,)   512.00B
Tensor176                                             (8, 8)   512.00B
Tensor177                                               (8,)   512.00B
Tensor178                                             (2, 8)   512.00B
Tensor179                                               (2,)   512.00B
Tensor180                                             (8, 1)   512.00B
Tensor181                                               (8,)   512.00B
Tensor182                                             (8, 8)   512.00B
Tensor183                                               (8,)   512.00B
Tensor184                                             (2, 8)   512.00B
Tensor185                                               (2,)   512.00B
Tensor186                                             (8, 1)   512.00B
Tensor187                                               (8,)   512.00B
Tensor188                                             (8, 8)   512.00B
Tensor189                                               (8,)   512.00B
Tensor190                                             (2, 8)   512.00B
Tensor191                                               (2,)   512.00B
Tensor192                                             (8, 1)   512.00B
Tensor193                                               (8,)   512.00B
Tensor194                                             (8, 8)   512.00B
Tensor195                                               (8,)   512.00B
Tensor196                                             (2, 8)   512.00B
Tensor197                                               (2,)   512.00B
Parameter119.grad                                     (8, 1)     0.00B
Tensor198                                             (8, 1)   512.00B
Tensor199                                             (8, 1)   512.00B
Parameter120.grad                                       (8,)     0.00B
Tensor200                                               (8,)   512.00B
Tensor201                                               (8,)   512.00B
Parameter122.grad                                     (8, 8)     0.00B
Tensor202                                             (8, 8)   512.00B
Tensor203                                             (8, 8)   512.00B
Parameter123.grad                                       (8,)     0.00B
Tensor204                                               (8,)   512.00B
Tensor205                                               (8,)   512.00B
Parameter140.grad                                     (2, 8)     0.00B
Tensor206                                             (2, 8)   512.00B
Tensor207                                             (2, 8)   512.00B
Parameter141.grad                                       (2,)     0.00B
Tensor208                                               (2,)   512.00B
Tensor209                                               (2,)   512.00B
Parameter146.grad                                     (8, 1)     0.00B
Tensor210                                             (8, 1)   512.00B
Tensor211                                             (8, 1)   512.00B
Parameter147.grad                                       (8,)     0.00B
Tensor212                                               (8,)   512.00B
Tensor213                                               (8,)   512.00B
Parameter149.grad                                     (8, 8)     0.00B
Tensor214                                             (8, 8)   512.00B
Tensor215                                             (8, 8)   512.00B
Parameter150.grad                                       (8,)     0.00B
Tensor216                                               (8,)   512.00B
Tensor217                                               (8,)   512.00B
Parameter152.grad                                     (2, 8)     0.00B
Tensor218                                             (2, 8)   512.00B
Tensor219                                             (2, 8)   512.00B
Parameter153.grad                                       (2,)     0.00B
Tensor220                                               (2,)   512.00B
Tensor221                                               (2,)   512.00B
Parameter158.grad                                     (8, 1)     0.00B
Tensor222                                             (8, 1)   512.00B
Tensor223                                             (8, 1)   512.00B
