Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Parameter17                                           (8, 8)   512.00B
Parameter17.grad                                      (8, 8)   512.00B
Parameter18                                             (8,)   512.00B
Parameter18.grad                                        (8,)   512.00B
Tensor19                                              (8, 8)   512.00B
Parameter20                                           (2, 8)   512.00B
Parameter20.grad                                      (2, 8)   512.00B
Parameter21                                             (2,)   512.00B
Parameter21.grad                                        (2,)   512.00B
Tensor22                                              (2, 8)   512.00B
Tensor23                                                (1,)   512.00B
Tensor24                                                (1,)   512.00B
Tensor25                                                (1,)   512.00B
Parameter26                                           (8, 1)   512.00B
Parameter26.grad                                      (8, 1)   512.00B
Parameter27                                             (8,)   512.00B
Parameter27.grad                                        (8,)   512.00B
Tensor28                                              (8, 1)   512.00B
Parameter29                                           (8, 8)   512.00B
Parameter29.grad                                      (8, 8)   512.00B
Parameter30                                             (8,)   512.00B
Parameter30.grad                                        (8,)   512.00B
Tensor31                                              (8, 8)   512.00B
Parameter32                                           (2, 8)   512.00B
Parameter32.grad                                      (2, 8)   512.00B
Parameter33                                             (2,)   512.00B
Parameter33.grad                                        (2,)   512.00B
Tensor34                                              (2, 8)   512.00B
Tensor35                                                (1,)   512.00B
Tensor36                                                (1,)   512.00B
Tensor37                                                (1,)   512.00B
Parameter38                                           (8, 1)   512.00B
Parameter38.grad                                      (8, 1)   512.00B
Parameter39                                             (8,)   512.00B
Parameter39.grad                                        (8,)   512.00B
Tensor40                                              (8, 1)   512.00B
Parameter41                                           (8, 8)   512.00B
Parameter41.grad                                      (8, 8)   512.00B
Parameter42                                             (8,)   512.00B
Parameter42.grad                                        (8,)   512.00B
Tensor43                                              (8, 8)   512.00B
Parameter44                                           (2, 8)   512.00B
Parameter44.grad                                      (2, 8)   512.00B
Parameter45                                             (2,)   512.00B
Parameter45.grad                                        (2,)   512.00B
Tensor46                                              (2, 8)   512.00B
Tensor47                                                (1,)   512.00B
Tensor48                                                (1,)   512.00B
Tensor49                                                (1,)   512.00B
Parameter50                                           (8, 1)   512.00B
Parameter50.grad                                      (8, 1)   512.00B
Parameter51                                             (8,)   512.00B
Parameter51.grad                                        (8,)   512.00B
Tensor52                                              (8, 1)   512.00B
Parameter53                                           (8, 8)   512.00B
Parameter53.grad                                      (8, 8)   512.00B
Parameter54                                             (8,)   512.00B
Parameter54.grad                                        (8,)   512.00B
Tensor55                                              (8, 8)   512.00B
Parameter56                                           (2, 8)   512.00B
Parameter56.grad                                      (2, 8)   512.00B
Parameter57                                             (2,)   512.00B
Parameter57.grad                                        (2,)   512.00B
Tensor58                                              (2, 8)   512.00B
Tensor59                                                (1,)   512.00B
Tensor60                                                (1,)   512.00B
Tensor61                                                (1,)   512.00B
Parameter62                                           (8, 1)   512.00B
Parameter62.grad                                      (8, 1)   512.00B
Parameter63                                             (8,)   512.00B
Parameter63.grad                                        (8,)   512.00B
Tensor64                                              (8, 1)   512.00B
Parameter65                                           (8, 8)   512.00B
Parameter65.grad                                      (8, 8)   512.00B
Parameter66                                             (8,)   512.00B
Parameter66.grad                                        (8,)   512.00B
Tensor67                                              (8, 8)   512.00B
Parameter68                                           (2, 8)   512.00B
Parameter68.grad                                      (2, 8)   512.00B
Parameter69                                             (2,)   512.00B
Parameter69.grad                                        (2,)   512.00B
Tensor70                                              (2, 8)   512.00B
Tensor71                                         (1, 111709)   436.50K
Tensor72                                              (8, 1)   512.00B
Tensor73                                                (8,)   512.00B
Tensor74                                              (8, 8)   512.00B
Tensor75                                                (8,)   512.00B
Tensor76                                              (2, 8)   512.00B
Tensor77                                                (2,)   512.00B
Tensor78                                              (8, 1)   512.00B
Tensor79                                                (8,)   512.00B
Tensor80                                              (8, 8)   512.00B
