Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Tensor17                                          (1000000,)     3.81M
Tensor18                                           (1600, 1)     6.50K
Tensor19                                           (1600, 1)     6.50K
Tensor20                                           (1600, 1)     6.50K
Tensor21                                           (1600, 1)     6.50K
Tensor22                                           (1600, 1)     6.50K
Tensor23                                           (1600, 1)     6.50K
Tensor24                                             (50, 1)   512.00B
Tensor25                                             (50, 1)     0.00B
Tensor26                                        (50, 111709)    21.31M
Tensor27                                        (50, 111709)    21.31M
Tensor28                                             (50, 1)   512.00B
Tensor29                                            (256, 1)     1.00K
Tensor30                                            (256, 1)     1.00K
Tensor31                                              (256,)     1.00K
Tensor32                                              (256,)     1.00K
Tensor33                                         (256, 1117)     1.09M
Tensor34                                         (256, 1117)     1.09M
Tensor35                                              (256,)     1.00K
Tensor36                                              (256,)     1.00K
Tensor37                                          (256, 256)   256.00K
Tensor38                                          (256, 256)   256.00K
Tensor39                                              (256,)     1.00K
Tensor40                                              (256,)     1.00K
Tensor41                                          (256, 256)   256.00K
Tensor42                                          (256, 256)   256.00K
Tensor43                                              (256,)     1.00K
Tensor44                                              (256,)     1.00K
Tensor45                                            (2, 256)     2.00K
Tensor46                                            (2, 256)     2.00K
Tensor47                                                (2,)   512.00B
Tensor48                                                (2,)   512.00B
Tensor49                                            (256, 1)     1.00K
Tensor50                                            (256, 1)     1.00K
Tensor51                                              (256,)     1.00K
Tensor52                                              (256,)     1.00K
Tensor53                                         (256, 1117)     1.09M
Tensor54                                         (256, 1117)     1.09M
Tensor55                                              (256,)     1.00K
Tensor56                                              (256,)     1.00K
Tensor57                                          (256, 256)   256.00K
Tensor58                                          (256, 256)   256.00K
Tensor59                                              (256,)     1.00K
Tensor60                                              (256,)     1.00K
Tensor61                                          (256, 256)   256.00K
