Element type                                            Size  Used MEM
Tensor62                                          (256, 256)   256.00K
Tensor63                                              (256,)     1.00K
Tensor64                                              (256,)     1.00K
Tensor65                                            (2, 256)     2.00K
Tensor66                                            (2, 256)     2.00K
Tensor67                                                (2,)   512.00B
Tensor68                                                (2,)   512.00B
Tensor69                                            (256, 1)     1.00K
Tensor70                                            (256, 1)     1.00K
Tensor71                                              (256,)     1.00K
Tensor72                                              (256,)     1.00K
Tensor73                                         (256, 1117)     1.09M
Tensor74                                         (256, 1117)     1.09M
Tensor75                                              (256,)     1.00K
Tensor76                                              (256,)     1.00K
Tensor77                                          (256, 256)   256.00K
Tensor78                                          (256, 256)   256.00K
Tensor79                                              (256,)     1.00K
Tensor80                                              (256,)     1.00K
Tensor81                                          (256, 256)   256.00K
Tensor82                                          (256, 256)   256.00K
Tensor83                                              (256,)     1.00K
Tensor84                                              (256,)     1.00K
Tensor85                                            (2, 256)     2.00K
Tensor86                                            (2, 256)     2.00K
Tensor87                                                (2,)   512.00B
Tensor88                                                (2,)   512.00B
Tensor89                                            (11170,)    44.00K
Tensor90                                            (11170,)    44.00K
Tensor91                                     (64, 175, 1746)    74.60M
Tensor92                                     (64, 175, 1746)    74.60M
Tensor93                                      (64, 175, 175)     7.48M
Tensor94                                      (64, 175, 175)     7.48M
Tensor95                                             (2234,)     9.00K
Tensor96                                             (2234,)     9.00K
Tensor97                                       (64, 35, 175)     1.50M
Tensor98                                       (64, 35, 175)     1.50M
Tensor99                                        (64, 35, 35)   306.50K
Tensor100                                       (64, 35, 35)   306.50K
Tensor101                                            (1117,)     4.50K
Tensor102                                            (1117,)     4.50K
Tensor103                                      (16, 70, 140)   612.50K
Tensor104                                      (16, 70, 140)   612.50K
Tensor105                                       (16, 70, 70)   306.50K
Tensor106                                       (16, 70, 70)   306.50K
Tensor107                                          (1600, 1)     0.00B
Tensor108                                          (1600, 1)     6.50K
Tensor109                                          (1600, 1)     6.50K
Tensor110                                          (1600, 1)     6.50K
Tensor111                                          (1600, 1)     6.50K
Tensor112                                          (1600, 1)     6.50K
Tensor113                                          (1600, 1)     6.50K
Tensor114                                          (1600, 1)     6.50K
Tensor115                                          (1600, 1)     6.50K
Tensor116                                          (1600, 1)     6.50K
Tensor117                                          (1600, 1)     6.50K
Tensor118                                          (1600, 1)     6.50K
Tensor119                                               (1,)     0.00B
Tensor120                                               (1,)   512.00B
Tensor121                                               (1,)   512.00B
Tensor122                                           (256, 1)     1.00K
Tensor123                                             (256,)     1.00K
Tensor124                                           (256, 1)     1.00K
Tensor125                                             (256,)     2.00K
Tensor126                                        (256, 1117)     1.09M
Tensor127                                             (256,)     1.00K
Tensor128                                         (256, 256)   256.00K
Tensor129                                             (256,)     1.00K
Tensor130                                         (256, 256)   256.00K
Tensor131                                             (256,)     2.00K
Tensor132                                         (256, 256)   256.00K
Tensor133                                             (256,)     1.00K
Tensor134                                         (256, 256)   256.00K
Tensor135                                             (256,)     2.00K
Tensor136                                           (2, 256)     2.00K
Tensor137                                               (2,)   512.00B
Tensor138                                           (2, 256)     2.00K
Tensor139                                               (2,)   512.00B
Tensor140                                               (1,)   512.00B
Tensor141                                           (256, 1)     1.00K
Tensor142                                             (256,)     1.00K
Tensor143                                           (256, 1)     1.00K
Tensor144                                             (256,)     2.00K
Tensor145                                        (256, 1117)     1.09M
Tensor146                                             (256,)     1.00K
Tensor147                                         (256, 256)   256.00K
Tensor148                                             (256,)     1.00K
Tensor149                                         (256, 256)   256.00K
Tensor150                                             (256,)     2.00K
Tensor151                                         (256, 256)   256.00K
Tensor152                                             (256,)     1.00K
Tensor153                                         (256, 256)   256.00K
Tensor154                                             (256,)     2.00K
Tensor155                                           (2, 256)     2.00K
Tensor156                                               (2,)   512.00B
Tensor157                                           (2, 256)     2.00K
Tensor158                                               (2,)   512.00B
Tensor159                                               (1,)   512.00B
Tensor160                                           (256, 1)     1.00K
Tensor161                                             (256,)     1.00K
Tensor162                                           (256, 1)     1.00K
Tensor163                                             (256,)     2.00K
Tensor164                                        (256, 1117)     1.09M
Tensor165                                             (256,)     1.00K
Tensor166                                         (256, 256)   256.00K
Tensor167                                             (256,)     1.00K
Tensor168                                         (256, 256)   256.00K
Tensor169                                             (256,)     2.00K
Tensor170                                         (256, 256)   256.00K
Tensor171                                             (256,)     1.00K
Tensor172                                         (256, 256)   256.00K
Tensor173                                             (256,)     2.00K
Tensor174                                           (2, 256)     2.00K
Tensor175                                               (2,)   512.00B
Tensor176                                           (2, 256)     2.00K
Tensor177                                               (2,)   512.00B
Tensor178                                               (1,)   512.00B
Tensor179                                          (111709,)   436.50K
Tensor180                                          (111709,)   436.50K
Tensor181                                           (11170,)    44.00K
Tensor182                                    (64, 175, 1746)    74.60M
Tensor183                                     (64, 175, 175)     7.48M
Tensor184                                            (2234,)     9.00K
Tensor185                                      (64, 35, 175)     1.50M
Tensor186                                       (64, 35, 35)   306.50K
Tensor187                                            (1117,)     4.50K
Tensor188                                      (16, 70, 140)   612.50K
Tensor189                                       (16, 70, 70)   306.50K
Tensor190                                           (11170,)     0.00B
Tensor191                                    (64, 175, 1746)     0.00B
Tensor192                                     (64, 175, 175)     0.00B
Tensor193                                            (2234,)     0.00B
Tensor194                                      (64, 35, 175)     0.00B
Tensor195                                       (64, 35, 35)     0.00B
Tensor196                                            (1117,)     0.00B
Tensor197                                      (16, 70, 140)     0.00B
Tensor198                                       (16, 70, 70)     0.00B
Tensor199                                          (1000, 1)     4.00K
Tensor200                                               (1,)   512.00B
Tensor201                                               (1,)   512.00B
Tensor202                                               (1,)   512.00B
Tensor203                                               (1,)   512.00B
Tensor204                                               (1,)   512.00B
Tensor205                                               (1,)   512.00B
Tensor206                                               (1,)   512.00B
Tensor207                                               (1,)   512.00B
Tensor208                                               (1,)   512.00B
Tensor209                                               (1,)   512.00B
Tensor210                                               (1,)   512.00B
Tensor211                                               (1,)   512.00B
Parameter212                                          (8, 1)   512.00B
Parameter213                                            (8,)   512.00B
Tensor214                                             (8, 1)   512.00B
Parameter215                                          (8, 8)   512.00B
Parameter216                                            (8,)   512.00B
Tensor217                                             (8, 8)   512.00B
Parameter218                                          (2, 8)   512.00B
Parameter219                                            (2,)   512.00B
Tensor220                                             (2, 8)   512.00B
Parameter221                                          (8, 1)   512.00B
Parameter222                                            (8,)   512.00B
Tensor223                                             (8, 1)   512.00B
Parameter224                                          (8, 8)   512.00B
Parameter225                                            (8,)   512.00B
Tensor226                                             (8, 8)   512.00B
Parameter227                                          (2, 8)   512.00B
Parameter228                                            (2,)   512.00B
Tensor229                                             (2, 8)   512.00B
Parameter230                                          (8, 1)   512.00B
Parameter231                                            (8,)   512.00B
Tensor232                                             (8, 1)   512.00B
Parameter233                                          (8, 8)   512.00B
Parameter234                                            (8,)   512.00B
Tensor235                                             (8, 8)   512.00B
Parameter236                                          (2, 8)   512.00B
Parameter237                                            (2,)   512.00B
Tensor238                                             (2, 8)   512.00B
Parameter239                                          (8, 1)   512.00B
Parameter240                                            (8,)   512.00B
Tensor241                                             (8, 1)   512.00B
Parameter242                                          (8, 8)   512.00B
Parameter243                                            (8,)   512.00B
Tensor244                                             (8, 8)   512.00B
Parameter245                                          (2, 8)   512.00B
Parameter246                                            (2,)   512.00B
Tensor247                                             (2, 8)   512.00B
Parameter248                                          (8, 1)   512.00B
Parameter249                                            (8,)   512.00B
Tensor250                                             (8, 1)   512.00B
Parameter251                                          (8, 8)   512.00B
Parameter252                                            (8,)   512.00B
Tensor253                                             (8, 8)   512.00B
Parameter254                                          (2, 8)   512.00B
Parameter255                                            (2,)   512.00B
Tensor256                                             (2, 8)   512.00B
Tensor257                                               (1,)   512.00B
Tensor258                                               (1,)   512.00B
Tensor259                                               (1,)   512.00B
Tensor260                                               (1,)   512.00B
Tensor261                                               (1,)   512.00B
Tensor262                                               (1,)   512.00B
Tensor263                                               (1,)   512.00B
Tensor264                                               (1,)   512.00B
Parameter265                                        (256, 1)     1.00K
Parameter266                                          (256,)     1.00K
Tensor267                                           (256, 1)     1.00K
Tensor268                                             (256,)     2.00K
Parameter269                                     (256, 1117)     1.09M
Parameter270                                          (256,)     1.00K
Parameter271                                      (256, 256)   256.00K
Parameter272                                          (256,)     1.00K
Tensor273                                         (256, 256)   256.00K
Tensor274                                             (256,)     2.00K
Parameter275                                      (256, 256)   256.00K
Parameter276                                          (256,)     1.00K
Tensor277                                         (256, 256)   256.00K
Tensor278                                             (256,)     2.00K
Parameter279                                        (2, 256)     2.00K
Parameter280                                            (2,)   512.00B
Tensor281                                           (2, 256)     2.00K
Tensor282                                               (2,)   512.00B
Tensor283                                               (1,)   512.00B
Parameter284                                        (256, 1)     1.00K
Parameter285                                          (256,)     1.00K
Tensor286                                           (256, 1)     1.00K
Tensor287                                             (256,)     2.00K
Parameter288                                     (256, 1117)     1.09M
Parameter289                                          (256,)     1.00K
Parameter290                                      (256, 256)   256.00K
Parameter291                                          (256,)     1.00K
Tensor292                                         (256, 256)   256.00K
Tensor293                                             (256,)     2.00K
Parameter294                                      (256, 256)   256.00K
Parameter295                                          (256,)     1.00K
Tensor296                                         (256, 256)   256.00K
Tensor297                                             (256,)     2.00K
Parameter298                                        (2, 256)     2.00K
Parameter299                                            (2,)   512.00B
Tensor300                                           (2, 256)     2.00K
Tensor301                                               (2,)   512.00B
Tensor302                                               (1,)   512.00B
Tensor303                                          (1000, 1)     4.00K
Tensor304                                          (1000, 1)     4.00K
Parameter305                                        (256, 1)     1.00K
Parameter306                                          (256,)     1.00K
Tensor307                                           (256, 1)     1.00K
Tensor308                                             (256,)     2.00K
Parameter309                                     (256, 1117)     1.09M
Parameter310                                          (256,)     1.00K
Parameter311                                      (256, 256)   256.00K
Parameter312                                          (256,)     1.00K
Tensor313                                         (256, 256)   256.00K
Tensor314                                             (256,)     2.00K
Parameter315                                      (256, 256)   256.00K
Parameter316                                          (256,)     1.00K
Tensor317                                         (256, 256)   256.00K
Tensor318                                             (256,)     2.00K
Parameter319                                        (2, 256)     2.00K
Parameter320                                            (2,)   512.00B
Tensor321                                           (2, 256)     2.00K
Tensor322                                               (2,)   512.00B
Tensor323                                               (1,)   512.00B
Tensor324                                               (1,)   512.00B
Tensor325                                          (111709,)   436.50K
Tensor326                                          (111709,)   436.50K
Parameter327                                        (11170,)    44.00K
Parameter328                                 (64, 175, 1746)    74.60M
Parameter329                                  (64, 175, 175)     7.48M
Parameter330                                         (2234,)     9.00K
Parameter331                                   (64, 35, 175)     1.50M
Parameter332                                    (64, 35, 35)   306.50K
Parameter333                                         (1117,)     4.50K
Parameter334                                   (16, 70, 140)   612.50K
Parameter335                                    (16, 70, 70)   306.50K
Tensor336                                               (1,)   512.00B
Tensor337                                          (1000, 1)     4.00K
Tensor338                                          (1000, 1)     4.00K
Tensor339                                          (1000, 1)     4.00K
Tensor340                                          (1000, 1)     4.00K
Tensor341                                          (1000, 1)     4.00K
Tensor342                                          (1000, 1)     4.00K
Tensor343                                          (1000, 1)     4.00K
Tensor344                                               (1,)   512.00B
Parameter345                                          (8, 1)   512.00B
Parameter345.grad                                     (8, 1)   512.00B
Parameter346                                            (8,)   512.00B
Parameter346.grad                                       (8,)   512.00B
Tensor347                                             (8, 1)   512.00B
Parameter348                                          (8, 8)   512.00B
Parameter348.grad                                     (8, 8)   512.00B
Parameter349                                            (8,)   512.00B
Parameter349.grad                                       (8,)   512.00B
Tensor350                                             (8, 8)   512.00B
Tensor351                                          (1000, 1)     4.00K
Tensor352                                          (1000, 1)     0.00B
Tensor353                                          (1000, 1)     4.00K
Tensor354                                          (1000, 1)     0.00B
Tensor355                                          (1000, 1)     4.00K
Tensor356                                          (1000, 1)     0.00B
Tensor357                                          (1000, 1)     4.00K
Tensor358                                          (1000, 1)     0.00B
Tensor359                                          (1000, 1)     4.00K
Tensor360                                          (1000, 1)     0.00B
Tensor361                                          (1000, 1)     4.00K
Tensor362                                          (1000, 1)     0.00B
Tensor363                                          (1000, 1)     4.00K
Tensor364                                          (1000, 1)     0.00B
Tensor365                                          (1000, 1)     0.00B
Parameter366                                          (2, 8)   512.00B
Parameter366.grad                                     (2, 8)   512.00B
Parameter367                                            (2,)   512.00B
Parameter367.grad                                       (2,)   512.00B
Tensor368                                             (2, 8)   512.00B
Tensor369                                               (1,)   512.00B
Tensor370                                               (1,)   512.00B
Tensor371                                               (1,)   512.00B
Parameter372                                          (8, 1)   512.00B
Parameter372.grad                                     (8, 1)   512.00B
Parameter373                                            (8,)   512.00B
Parameter373.grad                                       (8,)   512.00B
Tensor374                                             (8, 1)   512.00B
Parameter375                                          (8, 8)   512.00B
Parameter375.grad                                     (8, 8)   512.00B
Parameter376                                            (8,)   512.00B
Parameter376.grad                                       (8,)   512.00B
Tensor377                                             (8, 8)   512.00B
Parameter378                                          (2, 8)   512.00B
Parameter378.grad                                     (2, 8)   512.00B
Parameter379                                            (2,)   512.00B
Parameter379.grad                                       (2,)   512.00B
Tensor380                                             (2, 8)   512.00B
Tensor381                                               (1,)   512.00B
Tensor382                                               (1,)   512.00B
Tensor383                                               (1,)   512.00B
Parameter384                                          (8, 1)   512.00B
Parameter384.grad                                     (8, 1)   512.00B
Parameter385                                            (8,)   512.00B
Parameter385.grad                                       (8,)   512.00B
Tensor386                                             (8, 1)   512.00B
Parameter387                                          (8, 8)   512.00B
Parameter387.grad                                     (8, 8)   512.00B
Parameter388                                            (8,)   512.00B
Parameter388.grad                                       (8,)   512.00B
Tensor389                                             (8, 8)   512.00B
Parameter390                                          (2, 8)   512.00B
Parameter390.grad                                     (2, 8)   512.00B
Parameter391                                            (2,)   512.00B
Parameter391.grad                                       (2,)   512.00B
Tensor392                                             (2, 8)   512.00B
Tensor393                                        (1, 111709)   436.50K
Tensor394                                             (8, 1)   512.00B
Tensor395                                               (8,)   512.00B
Tensor396                                             (8, 8)   512.00B
Tensor397                                               (8,)   512.00B
Tensor398                                             (2, 8)   512.00B
Tensor399                                               (2,)   512.00B
Tensor400                                             (8, 1)   512.00B
Tensor401                                               (8,)   512.00B
Tensor402                                             (8, 8)   512.00B
Tensor403                                               (8,)   512.00B
Tensor404                                             (2, 8)   512.00B
Tensor405                                               (2,)   512.00B
Tensor406                                             (8, 1)   512.00B
Tensor407                                               (8,)   512.00B
Tensor408                                             (8, 8)   512.00B
Tensor409                                               (8,)   512.00B
Tensor410                                             (2, 8)   512.00B
Tensor411                                               (2,)   512.00B
Tensor412                                             (8, 1)   512.00B
Tensor413                                               (8,)   512.00B
Tensor414                                             (8, 8)   512.00B
Tensor415                                               (8,)   512.00B
Tensor416                                             (2, 8)   512.00B
Tensor417                                               (2,)   512.00B
Tensor418                                             (8, 1)   512.00B
Tensor419                                               (8,)   512.00B
Tensor420                                             (8, 8)   512.00B
Tensor421                                               (8,)   512.00B
Tensor422                                             (2, 8)   512.00B
Tensor423                                               (2,)   512.00B
Parameter345.grad                                     (8, 1)     0.00B
Tensor424                                             (8, 1)   512.00B
Tensor425                                             (8, 1)   512.00B
Parameter346.grad                                       (8,)     0.00B
Tensor426                                               (8,)   512.00B
Tensor427                                               (8,)   512.00B
Parameter348.grad                                     (8, 8)     0.00B
Tensor428                                             (8, 8)   512.00B
Tensor429                                             (8, 8)   512.00B
Parameter349.grad                                       (8,)     0.00B
Tensor430                                               (8,)   512.00B
Tensor431                                               (8,)   512.00B
Parameter366.grad                                     (2, 8)     0.00B
Tensor432                                             (2, 8)   512.00B
Tensor433                                             (2, 8)   512.00B
Parameter367.grad                                       (2,)     0.00B
Tensor434                                               (2,)   512.00B
Tensor435                                               (2,)   512.00B
Parameter372.grad                                     (8, 1)     0.00B
Tensor436                                             (8, 1)   512.00B
Tensor437                                             (8, 1)   512.00B
Parameter373.grad                                       (8,)     0.00B
Tensor438                                               (8,)   512.00B
Tensor439                                               (8,)   512.00B
Parameter375.grad                                     (8, 8)     0.00B
Tensor440                                             (8, 8)   512.00B
Tensor441                                             (8, 8)   512.00B
Parameter376.grad                                       (8,)     0.00B
Tensor442                                               (8,)   512.00B
Tensor443                                               (8,)   512.00B
Parameter378.grad                                     (2, 8)     0.00B
Tensor444                                             (2, 8)   512.00B
Tensor445                                             (2, 8)   512.00B
Parameter379.grad                                       (2,)     0.00B
Tensor446                                               (2,)   512.00B
Tensor447                                               (2,)   512.00B
Parameter384.grad                                     (8, 1)     0.00B
Tensor448                                             (8, 1)   512.00B
Tensor449                                             (8, 1)   512.00B
Parameter385.grad                                       (8,)     0.00B
Tensor450                                               (8,)   512.00B
Tensor451                                               (8,)   512.00B
Parameter387.grad                                     (8, 8)     0.00B
Tensor452                                             (8, 8)   512.00B
Tensor453                                             (8, 8)   512.00B
Parameter388.grad                                       (8,)     0.00B
Tensor454                                               (8,)   512.00B
Tensor455                                               (8,)   512.00B
Parameter390.grad                                     (2, 8)     0.00B
Tensor456                                             (2, 8)   512.00B
Tensor457                                             (2, 8)   512.00B
Parameter391.grad                                       (2,)     0.00B
Tensor458                                               (2,)   512.00B
Tensor459                                               (2,)   512.00B
Tensor460                                             (8, 1)   512.00B
Tensor461                                             (8, 1)   512.00B
Tensor462                                             (8, 1)   512.00B
Tensor463                                               (8,)   512.00B
Tensor464                                               (8,)   512.00B
Tensor465                                               (8,)   512.00B
Tensor466                                             (8, 8)   512.00B
Tensor467                                             (8, 8)   512.00B
Tensor468                                             (8, 8)   512.00B
Tensor469                                               (8,)   512.00B
Tensor470                                               (8,)   512.00B
Tensor471                                               (8,)   512.00B
Tensor472                                             (2, 8)   512.00B
Tensor473                                             (2, 8)   512.00B
Tensor474                                             (2, 8)   512.00B
Tensor475                                               (2,)   512.00B
Tensor476                                               (2,)   512.00B
Tensor477                                               (2,)   512.00B
Tensor478                                             (8, 1)   512.00B
Tensor479                                             (8, 1)   512.00B
Tensor480                                             (8, 1)   512.00B
Tensor481                                               (8,)   512.00B
Tensor482                                               (8,)   512.00B
Tensor483                                               (8,)   512.00B
Tensor484                                             (8, 8)   512.00B
Tensor485                                             (8, 8)   512.00B
Tensor486                                             (8, 8)   512.00B
Tensor487                                               (8,)   512.00B
Tensor488                                               (8,)   512.00B
Tensor489                                               (8,)   512.00B
Tensor490                                             (2, 8)   512.00B
Tensor491                                             (2, 8)   512.00B
Tensor492                                             (2, 8)   512.00B
Tensor493                                               (2,)   512.00B
Tensor494                                               (2,)   512.00B
Tensor495                                               (2,)   512.00B
Parameter496                                          (8, 1)   512.00B
Parameter496.grad                                     (8, 1)     0.00B
Parameter497                                            (8,)   512.00B
Parameter497.grad                                       (8,)     0.00B
Parameter498                                          (8, 8)   512.00B
Parameter498.grad                                     (8, 8)     0.00B
Parameter499                                            (8,)   512.00B
Parameter499.grad                                       (8,)     0.00B
Parameter500                                          (2, 8)   512.00B
Parameter500.grad                                     (2, 8)     0.00B
Parameter501                                            (2,)   512.00B
Parameter501.grad                                       (2,)     0.00B
Parameter502                                          (8, 1)   512.00B
Parameter502.grad                                     (8, 1)     0.00B
Parameter503                                            (8,)   512.00B
Parameter503.grad                                       (8,)     0.00B
Parameter504                                          (8, 8)   512.00B
Parameter504.grad                                     (8, 8)     0.00B
Parameter505                                            (8,)   512.00B
Parameter505.grad                                       (8,)     0.00B
Parameter506                                          (2, 8)   512.00B
Parameter506.grad                                     (2, 8)     0.00B
Parameter507                                            (2,)   512.00B
Parameter507.grad                                       (2,)     0.00B
Tensor508                                               (1,)   512.00B
Tensor509                                               (1,)   512.00B
Tensor510                                               (1,)   512.00B
Tensor511                                               (1,)   512.00B
Tensor512                                               (1,)   512.00B
Tensor513                                               (1,)   512.00B
Tensor514                                               (1,)   512.00B
Tensor515                                               (1,)   512.00B
Tensor516                                             (8, 1)   512.00B
Tensor517                                             (8, 8)   512.00B
Tensor518                                             (2, 8)   512.00B
Tensor519                                             (8, 1)   512.00B
Tensor520                                             (8, 8)   512.00B
Tensor521                                             (2, 8)   512.00B
Parameter522                                        (11170,)    44.00K
Parameter523                                 (64, 175, 1746)    74.60M
Parameter524                                  (64, 175, 175)     7.48M
Parameter525                                         (2234,)     9.00K
Parameter526                                   (64, 35, 175)     1.50M
Parameter527                                    (64, 35, 35)   306.50K
Parameter528                                         (1117,)     4.50K
Parameter529                                   (16, 70, 140)   612.50K
Parameter530                                    (16, 70, 70)   306.50K
Tensor531                                               (1,)   512.00B
Tensor532                                               (1,)   512.00B
Tensor533                                          (111709,)     0.00B
Tensor534                                       (50, 111709)    21.31M
Tensor535                                            (50, 1)   512.00B
Parameter536                                            (2,)   512.00B
Parameter537                                        (2, 256)     2.00K
Parameter538                                          (256,)     1.00K
Parameter539                                      (256, 256)   256.00K
Tensor540                                               (1,)   512.00B
Tensor541                                          (111709,)   436.50K
Tensor542                                          (111709,)   436.50K
Tensor543                                               (1,)   512.00B
Tensor544                                               (1,)   512.00B
Tensor545                                               (1,)   512.00B
Parameter546                                        (256, 1)     1.00K
Parameter547                                          (256,)     1.00K
Parameter548                                     (256, 1117)     1.09M
Parameter549                                          (256,)     1.00K
Parameter550                                      (256, 256)   256.00K
Parameter551                                          (256,)     1.00K
Parameter552                                      (256, 256)   256.00K
Parameter553                                          (256,)     1.00K
Parameter554                                        (2, 256)     2.00K
Parameter555                                            (2,)   512.00B
Parameter556                                        (256, 1)     1.00K
Parameter557                                          (256,)     1.00K
Parameter558                                     (256, 1117)     1.09M
Parameter559                                          (256,)     1.00K
Parameter560                                      (256, 256)   256.00K
Parameter561                                          (256,)     1.00K
Parameter562                                      (256, 256)   256.00K
Parameter563                                          (256,)     1.00K
Parameter564                                        (2, 256)     2.00K
Parameter565                                            (2,)   512.00B
Parameter566                                        (256, 1)     1.00K
Parameter567                                          (256,)     1.00K
Parameter568                                     (256, 1117)     1.09M
Parameter569                                          (256,)     1.00K
Parameter570                                      (256, 256)   256.00K
Parameter571                                          (256,)     1.00K
Tensor572                                               (1,)   512.00B
Tensor573                                               (1,)   512.00B
Tensor574                                           (256, 1)     1.00K
Tensor575                                             (256,)     2.00K
Tensor576                                           (2, 256)     2.00K
Tensor577                                               (2,)   512.00B
Tensor578                                           (256, 1)     1.00K
Tensor579                                             (256,)     2.00K
Tensor580                                           (2, 256)     2.00K
Tensor581                                               (2,)   512.00B
Tensor582                                           (256, 1)     1.00K
Tensor583                                             (256,)     2.00K
