Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Parameter163                                          (8, 1)   512.00B
Parameter163.grad                                     (8, 1)   512.00B
Parameter164                                            (8,)   512.00B
Parameter164.grad                                       (8,)   512.00B
Tensor165                                             (8, 1)   512.00B
Parameter166                                          (8, 8)   512.00B
Parameter166.grad                                     (8, 8)   512.00B
Parameter167                                            (8,)   512.00B
Parameter167.grad                                       (8,)   512.00B
Tensor168                                             (8, 8)   512.00B
Tensor169                                          (1000, 1)     4.00K
Tensor170                                          (1000, 1)     0.00B
Tensor171                                          (1000, 1)     4.00K
Tensor172                                          (1000, 1)     0.00B
Tensor173                                          (1000, 1)     4.00K
Tensor174                                          (1000, 1)     0.00B
Tensor175                                          (1000, 1)     4.00K
Tensor176                                          (1000, 1)     0.00B
Tensor177                                          (1000, 1)     4.00K
Tensor178                                          (1000, 1)     0.00B
Tensor179                                          (1000, 1)     4.00K
Tensor180                                          (1000, 1)     0.00B
Tensor181                                          (1000, 1)     4.00K
Tensor182                                          (1000, 1)     0.00B
Tensor183                                          (1000, 1)     0.00B
Parameter184                                          (2, 8)   512.00B
Parameter184.grad                                     (2, 8)   512.00B
Parameter185                                            (2,)   512.00B
Parameter185.grad                                       (2,)   512.00B
Tensor186                                             (2, 8)   512.00B
Tensor187                                               (1,)   512.00B
Tensor188                                               (1,)   512.00B
Tensor189                                               (1,)   512.00B
Parameter190                                          (8, 1)   512.00B
Parameter190.grad                                     (8, 1)   512.00B
Parameter191                                            (8,)   512.00B
Parameter191.grad                                       (8,)   512.00B
Tensor192                                             (8, 1)   512.00B
Parameter193                                          (8, 8)   512.00B
Parameter193.grad                                     (8, 8)   512.00B
Parameter194                                            (8,)   512.00B
Parameter194.grad                                       (8,)   512.00B
Tensor195                                             (8, 8)   512.00B
Parameter196                                          (2, 8)   512.00B
Parameter196.grad                                     (2, 8)   512.00B
Parameter197                                            (2,)   512.00B
Parameter197.grad                                       (2,)   512.00B
Tensor198                                             (2, 8)   512.00B
Tensor199                                               (1,)   512.00B
Tensor200                                               (1,)   512.00B
Tensor201                                               (1,)   512.00B
Parameter202                                          (8, 1)   512.00B
Parameter202.grad                                     (8, 1)   512.00B
Parameter203                                            (8,)   512.00B
Parameter203.grad                                       (8,)   512.00B
Tensor204                                             (8, 1)   512.00B
Parameter205                                          (8, 8)   512.00B
Parameter205.grad                                     (8, 8)   512.00B
Parameter206                                            (8,)   512.00B
Parameter206.grad                                       (8,)   512.00B
Tensor207                                             (8, 8)   512.00B
Parameter208                                          (2, 8)   512.00B
Parameter208.grad                                     (2, 8)   512.00B
Parameter209                                            (2,)   512.00B
Parameter209.grad                                       (2,)   512.00B
Tensor210                                             (2, 8)   512.00B
Tensor211                                               (1,)   512.00B
Tensor212                                               (1,)   512.00B
Tensor213                                               (1,)   512.00B
Parameter214                                          (8, 1)   512.00B
Parameter214.grad                                     (8, 1)   512.00B
Parameter215                                            (8,)   512.00B
Parameter215.grad                                       (8,)   512.00B
Tensor216                                             (8, 1)   512.00B
Parameter217                                          (8, 8)   512.00B
Parameter217.grad                                     (8, 8)   512.00B
Parameter218                                            (8,)   512.00B
Parameter218.grad                                       (8,)   512.00B
Tensor219                                             (8, 8)   512.00B
Parameter220                                          (2, 8)   512.00B
Parameter220.grad                                     (2, 8)   512.00B
Parameter221                                            (2,)   512.00B
Parameter221.grad                                       (2,)   512.00B
Tensor222                                             (2, 8)   512.00B
Tensor223                                               (1,)   512.00B
Tensor224                                               (1,)   512.00B
Tensor225                                               (1,)   512.00B
Parameter226                                          (8, 1)   512.00B
Parameter226.grad                                     (8, 1)   512.00B
Parameter227                                            (8,)   512.00B
Parameter227.grad                                       (8,)   512.00B
Tensor228                                             (8, 1)   512.00B
Parameter229                                          (8, 8)   512.00B
Parameter229.grad                                     (8, 8)   512.00B
Parameter230                                            (8,)   512.00B
Parameter230.grad                                       (8,)   512.00B
Tensor231                                             (8, 8)   512.00B
Parameter232                                          (2, 8)   512.00B
Parameter232.grad                                     (2, 8)   512.00B
Parameter233                                            (2,)   512.00B
Parameter233.grad                                       (2,)   512.00B
Tensor234                                             (2, 8)   512.00B
Tensor235                                        (1, 111709)   436.50K
Tensor236                                             (8, 1)   512.00B
Tensor237                                               (8,)   512.00B
Tensor238                                             (8, 8)   512.00B
Tensor239                                               (8,)   512.00B
Tensor240                                             (2, 8)   512.00B
Tensor241                                               (2,)   512.00B
Tensor242                                             (8, 1)   512.00B
Tensor243                                               (8,)   512.00B
Tensor244                                             (8, 8)   512.00B
Tensor245                                               (8,)   512.00B
Tensor246                                             (2, 8)   512.00B
Tensor247                                               (2,)   512.00B
Tensor248                                             (8, 1)   512.00B
Tensor249                                               (8,)   512.00B
Tensor250                                             (8, 8)   512.00B
Tensor251                                               (8,)   512.00B
Tensor252                                             (2, 8)   512.00B
Tensor253                                               (2,)   512.00B
Tensor254                                             (8, 1)   512.00B
Tensor255                                               (8,)   512.00B
Tensor256                                             (8, 8)   512.00B
Tensor257                                               (8,)   512.00B
Tensor258                                             (2, 8)   512.00B
Tensor259                                               (2,)   512.00B
Tensor260                                             (8, 1)   512.00B
Tensor261                                               (8,)   512.00B
Tensor262                                             (8, 8)   512.00B
Tensor263                                               (8,)   512.00B
Tensor264                                             (2, 8)   512.00B
Tensor265                                               (2,)   512.00B
Parameter163.grad                                     (8, 1)     0.00B
Tensor266                                             (8, 1)   512.00B
Tensor267                                             (8, 1)   512.00B
Parameter164.grad                                       (8,)     0.00B
Tensor268                                               (8,)   512.00B
Tensor269                                               (8,)   512.00B
Parameter166.grad                                     (8, 8)     0.00B
Tensor270                                             (8, 8)   512.00B
Tensor271                                             (8, 8)   512.00B
Parameter167.grad                                       (8,)     0.00B
Tensor272                                               (8,)   512.00B
Tensor273                                               (8,)   512.00B
Parameter184.grad                                     (2, 8)     0.00B
Tensor274                                             (2, 8)   512.00B
Tensor275                                             (2, 8)   512.00B
Parameter185.grad                                       (2,)     0.00B
Tensor276                                               (2,)   512.00B
Tensor277                                               (2,)   512.00B
Parameter190.grad                                     (8, 1)     0.00B
Tensor278                                             (8, 1)   512.00B
Tensor279                                             (8, 1)   512.00B
Parameter191.grad                                       (8,)     0.00B
Tensor280                                               (8,)   512.00B
Tensor281                                               (8,)   512.00B
Parameter193.grad                                     (8, 8)     0.00B
Tensor282                                             (8, 8)   512.00B
Tensor283                                             (8, 8)   512.00B
Parameter194.grad                                       (8,)     0.00B
Tensor284                                               (8,)   512.00B
Tensor285                                               (8,)   512.00B
Parameter196.grad                                     (2, 8)     0.00B
Tensor286                                             (2, 8)   512.00B
Tensor287                                             (2, 8)   512.00B
Parameter197.grad                                       (2,)     0.00B
Tensor288                                               (2,)   512.00B
Tensor289                                               (2,)   512.00B
Parameter202.grad                                     (8, 1)     0.00B
Tensor290                                             (8, 1)   512.00B
Tensor291                                             (8, 1)   512.00B
Parameter203.grad                                       (8,)     0.00B
Tensor292                                               (8,)   512.00B
Tensor293                                               (8,)   512.00B
Parameter205.grad                                     (8, 8)     0.00B
Tensor294                                             (8, 8)   512.00B
Tensor295                                             (8, 8)   512.00B
Parameter206.grad                                       (8,)     0.00B
Tensor296                                               (8,)   512.00B
Tensor297                                               (8,)   512.00B
Parameter208.grad                                     (2, 8)     0.00B
Tensor298                                             (2, 8)   512.00B
Tensor299                                             (2, 8)   512.00B
Parameter209.grad                                       (2,)     0.00B
Tensor300                                               (2,)   512.00B
