Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Tensor17                                         (1, 111709)   436.50K
Tensor18                                              (8, 1)   512.00B
Tensor19                                                (8,)   512.00B
Tensor20                                              (8, 8)   512.00B
Tensor21                                                (8,)   512.00B
Tensor22                                              (2, 8)   512.00B
Tensor23                                                (2,)   512.00B
Tensor24                                              (8, 1)   512.00B
Tensor25                                                (8,)   512.00B
Tensor26                                              (8, 8)   512.00B
Tensor27                                                (8,)   512.00B
Tensor28                                              (2, 8)   512.00B
Tensor29                                                (2,)   512.00B
Tensor30                                              (8, 1)   512.00B
Tensor31                                                (8,)   512.00B
Tensor32                                              (8, 8)   512.00B
Tensor33                                                (8,)   512.00B
Tensor34                                              (2, 8)   512.00B
Tensor35                                                (2,)   512.00B
Tensor36                                              (8, 1)   512.00B
Tensor37                                                (8,)   512.00B
Tensor38                                              (8, 8)   512.00B
Tensor39                                                (8,)   512.00B
Tensor40                                              (2, 8)   512.00B
Tensor41                                                (2,)   512.00B
Tensor42                                              (8, 1)   512.00B
Tensor43                                                (8,)   512.00B
Tensor44                                              (8, 8)   512.00B
Tensor45                                                (8,)   512.00B
Tensor46                                              (2, 8)   512.00B
Tensor47                                                (2,)   512.00B
Tensor48                                              (8, 1)   512.00B
Tensor49                                              (8, 1)   512.00B
Tensor50                                              (8, 1)   512.00B
Tensor51                                                (8,)   512.00B
Tensor52                                                (8,)   512.00B
Tensor53                                                (8,)   512.00B
Tensor54                                              (8, 8)   512.00B
Tensor55                                              (8, 8)   512.00B
Tensor56                                              (8, 8)   512.00B
Tensor57                                                (8,)   512.00B
Tensor58                                                (8,)   512.00B
Tensor59                                                (8,)   512.00B
Tensor60                                              (2, 8)   512.00B
Tensor61                                              (2, 8)   512.00B
Tensor62                                              (2, 8)   512.00B
