Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Parameter145.grad                                       (8,)   512.00B
Tensor146                                             (8, 1)   512.00B
Parameter147                                          (8, 8)   512.00B
Parameter147.grad                                     (8, 8)   512.00B
Parameter148                                            (8,)   512.00B
Parameter148.grad                                       (8,)   512.00B
Tensor149                                             (8, 8)   512.00B
Parameter150                                          (2, 8)   512.00B
Parameter150.grad                                     (2, 8)   512.00B
Parameter151                                            (2,)   512.00B
Parameter151.grad                                       (2,)   512.00B
Tensor152                                             (2, 8)   512.00B
Tensor153                                               (1,)   512.00B
Tensor154                                               (1,)   512.00B
Tensor155                                               (1,)   512.00B
Parameter156                                          (8, 1)   512.00B
Parameter156.grad                                     (8, 1)   512.00B
Parameter157                                            (8,)   512.00B
Parameter157.grad                                       (8,)   512.00B
Tensor158                                             (8, 1)   512.00B
Parameter159                                          (8, 8)   512.00B
Parameter159.grad                                     (8, 8)   512.00B
Parameter160                                            (8,)   512.00B
Parameter160.grad                                       (8,)   512.00B
Tensor161                                             (8, 8)   512.00B
Parameter162                                          (2, 8)   512.00B
Parameter162.grad                                     (2, 8)   512.00B
Parameter163                                            (2,)   512.00B
Parameter163.grad                                       (2,)   512.00B
Tensor164                                             (2, 8)   512.00B
Tensor165                                               (1,)   512.00B
Tensor166                                               (1,)   512.00B
Tensor167                                               (1,)   512.00B
Parameter168                                          (8, 1)   512.00B
Parameter168.grad                                     (8, 1)   512.00B
Parameter169                                            (8,)   512.00B
Parameter169.grad                                       (8,)   512.00B
Tensor170                                             (8, 1)   512.00B
Parameter171                                          (8, 8)   512.00B
Parameter171.grad                                     (8, 8)   512.00B
Parameter172                                            (8,)   512.00B
Parameter172.grad                                       (8,)   512.00B
Tensor173                                             (8, 8)   512.00B
Parameter174                                          (2, 8)   512.00B
Parameter174.grad                                     (2, 8)   512.00B
Parameter175                                            (2,)   512.00B
Parameter175.grad                                       (2,)   512.00B
Tensor176                                             (2, 8)   512.00B
Tensor177                                        (1, 111709)   436.50K
Tensor178                                             (8, 1)   512.00B
Tensor179                                               (8,)   512.00B
Tensor180                                             (8, 8)   512.00B
Tensor181                                               (8,)   512.00B
Tensor182                                             (2, 8)   512.00B
Tensor183                                               (2,)   512.00B
Tensor184                                             (8, 1)   512.00B
Tensor185                                               (8,)   512.00B
Tensor186                                             (8, 8)   512.00B
Tensor187                                               (8,)   512.00B
Tensor188                                             (2, 8)   512.00B
Tensor189                                               (2,)   512.00B
Tensor190                                             (8, 1)   512.00B
Tensor191                                               (8,)   512.00B
Tensor192                                             (8, 8)   512.00B
Tensor193                                               (8,)   512.00B
Tensor194                                             (2, 8)   512.00B
Tensor195                                               (2,)   512.00B
Tensor196                                             (8, 1)   512.00B
Tensor197                                               (8,)   512.00B
Tensor198                                             (8, 8)   512.00B
Tensor199                                               (8,)   512.00B
Tensor200                                             (2, 8)   512.00B
Tensor201                                               (2,)   512.00B
Tensor202                                             (8, 1)   512.00B
Tensor203                                               (8,)   512.00B
Tensor204                                             (8, 8)   512.00B
Tensor205                                               (8,)   512.00B
Tensor206                                             (2, 8)   512.00B
Tensor207                                               (2,)   512.00B
Parameter105.grad                                     (8, 1)     0.00B
Tensor208                                             (8, 1)   512.00B
Tensor209                                             (8, 1)   512.00B
Parameter106.grad                                       (8,)     0.00B
Tensor210                                               (8,)   512.00B
Tensor211                                               (8,)   512.00B
Parameter108.grad                                     (8, 8)     0.00B
Tensor212                                             (8, 8)   512.00B
Tensor213                                             (8, 8)   512.00B
Parameter109.grad                                       (8,)     0.00B
Tensor214                                               (8,)   512.00B
Tensor215                                               (8,)   512.00B
Parameter126.grad                                     (2, 8)     0.00B
Tensor216                                             (2, 8)   512.00B
Tensor217                                             (2, 8)   512.00B
Parameter127.grad                                       (2,)     0.00B
Tensor218                                               (2,)   512.00B
Tensor219                                               (2,)   512.00B
Parameter132.grad                                     (8, 1)     0.00B
Tensor220                                             (8, 1)   512.00B
Tensor221                                             (8, 1)   512.00B
Parameter133.grad                                       (8,)     0.00B
Tensor222                                               (8,)   512.00B
Tensor223                                               (8,)   512.00B
Parameter135.grad                                     (8, 8)     0.00B
Tensor224                                             (8, 8)   512.00B
Tensor225                                             (8, 8)   512.00B
Parameter136.grad                                       (8,)     0.00B
Tensor226                                               (8,)   512.00B
Tensor227                                               (8,)   512.00B
Parameter138.grad                                     (2, 8)     0.00B
Tensor228                                             (2, 8)   512.00B
Tensor229                                             (2, 8)   512.00B
Parameter139.grad                                       (2,)     0.00B
Tensor230                                               (2,)   512.00B
Tensor231                                               (2,)   512.00B
Parameter144.grad                                     (8, 1)     0.00B
Tensor232                                             (8, 1)   512.00B
Tensor233                                             (8, 1)   512.00B
Parameter145.grad                                       (8,)     0.00B
Tensor234                                               (8,)   512.00B
Tensor235                                               (8,)   512.00B
Parameter147.grad                                     (8, 8)     0.00B
Tensor236                                             (8, 8)   512.00B
Tensor237                                             (8, 8)   512.00B
Parameter148.grad                                       (8,)     0.00B
Tensor238                                               (8,)   512.00B
Tensor239                                               (8,)   512.00B
Parameter150.grad                                     (2, 8)     0.00B
Tensor240                                             (2, 8)   512.00B
Tensor241                                             (2, 8)   512.00B
Parameter151.grad                                       (2,)     0.00B
Tensor242                                               (2,)   512.00B
Tensor243                                               (2,)   512.00B
Parameter156.grad                                     (8, 1)     0.00B
Tensor244                                             (8, 1)   512.00B
Tensor245                                             (8, 1)   512.00B
Parameter157.grad                                       (8,)     0.00B
Tensor246                                               (8,)   512.00B
Tensor247                                               (8,)   512.00B
Parameter159.grad                                     (8, 8)     0.00B
Tensor248                                             (8, 8)   512.00B
Tensor249                                             (8, 8)   512.00B
Parameter160.grad                                       (8,)     0.00B
Tensor250                                               (8,)   512.00B
Tensor251                                               (8,)   512.00B
Parameter162.grad                                     (2, 8)     0.00B
Tensor252                                             (2, 8)   512.00B
Tensor253                                             (2, 8)   512.00B
Parameter163.grad                                       (2,)     0.00B
Tensor254                                               (2,)   512.00B
Tensor255                                               (2,)   512.00B
Parameter168.grad                                     (8, 1)     0.00B
Tensor256                                             (8, 1)   512.00B
Tensor257                                             (8, 1)   512.00B
Parameter169.grad                                       (8,)     0.00B
Tensor258                                               (8,)   512.00B
Tensor259                                               (8,)   512.00B
Parameter171.grad                                     (8, 8)     0.00B
Tensor260                                             (8, 8)   512.00B
Tensor261                                             (8, 8)   512.00B
Parameter172.grad                                       (8,)     0.00B
Tensor262                                               (8,)   512.00B
Tensor263                                               (8,)   512.00B
Parameter174.grad                                     (2, 8)     0.00B
Tensor264                                             (2, 8)   512.00B
Tensor265                                             (2, 8)   512.00B
Parameter175.grad                                       (2,)     0.00B
Tensor266                                               (2,)   512.00B
Tensor267                                               (2,)   512.00B
Tensor268                                               (1,)   512.00B
Tensor269                                               (1,)   512.00B
Parameter270                                        (11170,)    44.00K
Parameter271                                 (64, 175, 1746)    74.60M
Parameter272                                  (64, 175, 175)     7.48M
Parameter273                                         (2234,)     9.00K
Parameter274                                   (64, 35, 175)     1.50M
Parameter275                                    (64, 35, 35)   306.50K
Parameter276                                         (1117,)     4.50K
Parameter277                                   (16, 70, 140)   612.50K
Parameter278                                    (16, 70, 70)   306.50K
Tensor279                                               (1,)   512.00B
Tensor280                                               (1,)   512.00B
Tensor281                                          (111709,)     0.00B
Tensor282                                       (50, 111709)    21.31M
Tensor283                                            (50, 1)   512.00B
Tensor284                                               (1,)   512.00B
Tensor285                                          (111709,)   436.50K
Tensor286                                          (111709,)   436.50K
Tensor287                                               (1,)   512.00B
Tensor288                                               (1,)   512.00B
Tensor289                                               (1,)   512.00B
Tensor290                                               (1,)   512.00B
Tensor291                                               (1,)   512.00B
Tensor292                                           (256, 1)     1.00K
Tensor293                                             (256,)     2.00K
Tensor294                                           (2, 256)     2.00K
Tensor295                                               (2,)   512.00B
Tensor296                                           (256, 1)     1.00K
Tensor297                                             (256,)     2.00K
Tensor298                                           (2, 256)     2.00K
Tensor299                                               (2,)   512.00B
Tensor300                                           (256, 1)     1.00K
Tensor301                                             (256,)     2.00K
Tensor302                                           (2, 256)     2.00K
Tensor303                                               (2,)   512.00B
Tensor304                                         (256, 256)   256.00K
Tensor305                                             (256,)     2.00K
Tensor306                                         (256, 256)   256.00K
Tensor307                                             (256,)     2.00K
Tensor308                                         (256, 256)   256.00K
Tensor309                                             (256,)     2.00K
Tensor310                                         (256, 256)   256.00K
Tensor311                                             (256,)     2.00K
Tensor312                                         (256, 256)   256.00K
Tensor313                                             (256,)     2.00K
