Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Parameter133                                          (2, 8)   512.00B
Parameter133.grad                                     (2, 8)     0.00B
Parameter134                                            (2,)   512.00B
Parameter134.grad                                       (2,)     0.00B
Tensor135                                               (1,)   512.00B
Tensor136                                          (1000, 1)     4.00K
Tensor137                                               (1,)   512.00B
Tensor138                                               (1,)   512.00B
Tensor139                                          (1000, 1)     4.00K
Tensor140                                               (1,)   512.00B
Tensor141                                               (1,)   512.00B
Tensor142                                          (1000, 1)     4.00K
Tensor143                                               (1,)   512.00B
Tensor144                                               (1,)   512.00B
Tensor145                                          (1000, 1)     4.00K
Tensor146                                               (1,)   512.00B
Tensor147                                               (1,)   512.00B
Tensor148                                          (1000, 1)     4.00K
Tensor149                                               (1,)   512.00B
Tensor150                                               (1,)   512.00B
Tensor151                                               (1,)   512.00B
Tensor152                                               (1,)   512.00B
Tensor153                                               (1,)   512.00B
Tensor154                                               (1,)   512.00B
Tensor155                                               (1,)   512.00B
Tensor156                                               (1,)   512.00B
Tensor157                                               (1,)   512.00B
Tensor158                                               (1,)   512.00B
Tensor159                                          (1000, 1)     4.00K
Tensor160                                          (1000, 1)     4.00K
Tensor161                                          (1000, 1)     4.00K
Tensor162                                          (1000, 1)     0.00B
Tensor163                                          (1000, 1)     4.00K
Tensor164                                          (1000, 1)     0.00B
Tensor165                                          (1000, 1)     4.00K
Tensor166                                          (1000, 1)     0.00B
Tensor167                                          (1000, 1)     4.00K
Tensor168                                          (1000, 1)     0.00B
Tensor169                                          (1000, 1)     4.00K
Tensor170                                          (1000, 1)     0.00B
Tensor171                                          (1000, 1)     4.00K
Tensor172                                          (1000, 1)     0.00B
Tensor173                                          (1000, 1)     4.00K
Tensor174                                          (1000, 1)     0.00B
Tensor175                                          (1000, 1)     4.00K
Tensor176                                          (1000, 1)     0.00B
Tensor177                                          (1000, 1)     4.00K
Tensor178                                               (1,)   512.00B
Tensor179                                               (1,)   512.00B
Tensor180                                               (1,)   512.00B
Tensor181                                               (1,)   512.00B
Tensor182                                               (1,)   512.00B
Tensor183                                               (1,)   512.00B
Tensor184                                               (1,)   512.00B
Tensor185                                               (1,)   512.00B
Tensor186                                               (1,)   512.00B
Tensor187                                               (1,)   512.00B
Tensor188                                               (1,)   512.00B
Tensor189                                               (1,)   512.00B
Tensor190                                               (1,)   512.00B
Tensor191                                               (1,)   512.00B
Tensor192                                               (1,)   512.00B
Tensor193                                               (1,)   512.00B
Tensor194                                               (1,)   512.00B
Tensor195                                               (1,)   512.00B
Tensor196                                          (111709,)   436.50K
Tensor197                                          (111709,)   436.50K
Tensor198                                          (1000, 1)     4.00K
Parameter199                                      (256, 279)   279.00K
Parameter200                                          (256,)     1.00K
Parameter201                                      (256, 256)   256.00K
Parameter202                                          (256,)     1.00K
Parameter203                                       (29, 256)    29.00K
Parameter204                                           (29,)   512.00B
Parameter205                                      (9975614,)    38.05M
Parameter206                                          (893,)     3.50K
Tensor207                                       (2, 9975614)   152.22M
Parameter208                                          (893,)     3.50K
Parameter209                                          (893,)     3.50K
Parameter210                                        (56973,)   223.00K
Parameter211                                          (638,)     2.50K
Tensor212                                         (2, 56973)   890.50K
Parameter213                                          (638,)     2.50K
Parameter214                                          (638,)     2.50K
Parameter215                                        (35600,)   139.50K
Parameter216                                          (558,)     2.50K
