Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Tensor17                                                (1,)   512.00B
Tensor18                                                (1,)   512.00B
Tensor19                                                (1,)   512.00B
Tensor20                                                (1,)   512.00B
Tensor21                                                (1,)   512.00B
Tensor22                                                (1,)   512.00B
Tensor23                                                (1,)   512.00B
Tensor24                                                (1,)   512.00B
Tensor25                                                (1,)   512.00B
Parameter26                                       (256, 279)   279.00K
Parameter27                                           (256,)     1.00K
Parameter28                                       (256, 256)   256.00K
Parameter29                                           (256,)     1.00K
Parameter30                                        (29, 256)    29.00K
Parameter31                                            (29,)   512.00B
Tensor32                                                (1,)   512.00B
Parameter33                                       (256, 279)   279.00K
Parameter34                                           (256,)     1.00K
Parameter35                                       (256, 256)   256.00K
Parameter36                                           (256,)     1.00K
Parameter37                                        (29, 256)    29.00K
Parameter38                                            (29,)   512.00B
Tensor39                                                (1,)   512.00B
Parameter40                                       (256, 279)   279.00K
Parameter41                                           (256,)     1.00K
Parameter42                                       (256, 256)   256.00K
Parameter43                                           (256,)     1.00K
Parameter44                                        (29, 256)    29.00K
Parameter45                                            (29,)   512.00B
Tensor46                                                (1,)   512.00B
Tensor47                                           (111709,)   436.50K
Tensor48                                           (111709,)   436.50K
Parameter49                                       (9975614,)    38.05M
Parameter50                                           (893,)     3.50K
Tensor51                                        (2, 9975614)   152.22M
Parameter52                                           (893,)     3.50K
Parameter53                                           (893,)     3.50K
Parameter54                                         (56973,)   223.00K
Parameter55                                           (638,)     2.50K
Tensor56                                          (2, 56973)   890.50K
Parameter57                                           (638,)     2.50K
Parameter58                                           (638,)     2.50K
Parameter59                                         (35600,)   139.50K
Parameter60                                           (558,)     2.50K
Tensor61                                          (2, 35600)   556.50K
Parameter62                                           (558,)     2.50K
Parameter63                                           (558,)     2.50K
Tensor64                                           (1000, 1)     4.00K
Tensor65                                           (1000, 1)     4.00K
Parameter66                                         (15568,)    61.00K
Parameter67                                           (279,)     1.50K
Tensor68                                          (2, 15568)   243.50K
Parameter69                                           (279,)     1.50K
Parameter70                                           (279,)     1.50K
Parameter71                                          (7784,)    30.50K
Parameter72                                           (279,)     1.50K
Tensor73                                           (2, 7784)   122.00K
Tensor74                                                (1,)   512.00B
Tensor75                                           (1000, 1)     4.00K
Tensor76                                           (1000, 1)     4.00K
Tensor77                                           (1000, 1)     4.00K
Tensor78                                           (1000, 1)     0.00B
Tensor79                                           (1000, 1)     4.00K
Tensor80                                           (1000, 1)     0.00B
Tensor81                                           (1000, 1)     4.00K
Tensor82                                           (1000, 1)     4.00K
Tensor83                                           (1000, 1)     4.00K
Tensor84                                           (1000, 1)     4.00K
Tensor85                                           (1000, 1)     4.00K
Tensor86                                                (1,)   512.00B
Parameter87                                           (8, 1)   512.00B
Parameter87.grad                                      (8, 1)   512.00B
Parameter88                                             (8,)   512.00B
Parameter88.grad                                        (8,)   512.00B
Tensor89                                              (8, 1)   512.00B
Parameter90                                           (8, 8)   512.00B
Parameter90.grad                                      (8, 8)   512.00B
Parameter91                                             (8,)   512.00B
Parameter91.grad                                        (8,)   512.00B
Tensor92                                              (8, 8)   512.00B
Parameter93                                           (2, 8)   512.00B
Parameter93.grad                                      (2, 8)   512.00B
Parameter94                                             (2,)   512.00B
Parameter94.grad                                        (2,)   512.00B
Tensor95                                              (2, 8)   512.00B
Tensor96                                                (1,)   512.00B
Tensor97                                                (1,)   512.00B
Tensor98                                                (1,)   512.00B
Parameter99                                           (8, 1)   512.00B
Parameter99.grad                                      (8, 1)   512.00B
Parameter100                                            (8,)   512.00B
Parameter100.grad                                       (8,)   512.00B
Tensor101                                             (8, 1)   512.00B
Parameter102                                          (8, 8)   512.00B
Parameter102.grad                                     (8, 8)   512.00B
