Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Parameter17                                           (893,)     3.50K
Parameter18                                           (893,)     3.50K
Parameter19                                           (893,)     3.50K
Parameter20                                           (638,)     2.50K
Parameter21                                           (638,)     2.50K
Parameter22                                           (638,)     2.50K
Parameter23                                           (558,)     2.50K
Parameter24                                           (558,)     2.50K
Parameter25                                           (558,)     2.50K
Parameter26                                           (279,)     1.50K
Parameter27                                           (279,)     1.50K
Parameter28                                           (279,)     1.50K
Parameter29                                           (279,)     1.50K
Tensor30                                                (1,)   512.00B
Tensor31                                                (1,)   512.00B
Tensor32                                           (111709,)   436.50K
Tensor33                                        (50, 111709)    21.31M
Tensor34                                             (50, 1)   512.00B
Parameter35                                       (256, 279)   279.00K
Parameter36                                           (256,)     1.00K
Parameter37                                       (256, 256)   256.00K
Parameter38                                           (256,)     1.00K
Parameter39                                        (29, 256)    29.00K
Parameter40                                            (29,)   512.00B
Tensor41                                                (1,)   512.00B
Parameter42                                            (29,)   512.00B
Parameter43                                        (29, 256)    29.00K
Parameter44                                           (256,)     1.00K
Parameter45                                       (256, 256)   256.00K
Parameter46                                           (256,)     1.00K
Parameter47                                       (256, 279)   279.00K
Parameter48                                            (29,)   512.00B
Parameter49                                        (29, 256)    29.00K
Parameter50                                           (256,)     1.00K
Parameter51                                       (256, 256)   256.00K
Parameter52                                           (256,)     1.00K
Parameter53                                       (256, 279)   279.00K
Tensor54                                                (1,)   512.00B
Tensor55                                                (1,)   512.00B
Tensor56                                                (1,)   512.00B
Tensor57                                                (1,)   512.00B
Tensor58                                                (1,)   512.00B
Tensor59                                           (111709,)   436.50K
Tensor60                                           (111709,)   436.50K
Tensor61                                                (1,)   512.00B
Tensor62                                                (1,)   512.00B
Tensor63                                         (1, 111709)     0.00B
Tensor64                                              (8, 1)   512.00B
Tensor65                                                (8,)   512.00B
Tensor66                                              (8, 8)   512.00B
Tensor67                                                (8,)   512.00B
Tensor68                                              (2, 8)   512.00B
Tensor69                                                (2,)   512.00B
Tensor70                                              (8, 1)   512.00B
Tensor71                                                (8,)   512.00B
Tensor72                                              (8, 8)   512.00B
Tensor73                                                (8,)   512.00B
Tensor74                                              (2, 8)   512.00B
Tensor75                                                (2,)   512.00B
Tensor76                                              (8, 1)   512.00B
Tensor77                                                (8,)   512.00B
Tensor78                                              (8, 8)   512.00B
Tensor79                                                (8,)   512.00B
Tensor80                                              (2, 8)   512.00B
Tensor81                                                (2,)   512.00B
Tensor82                                              (8, 1)   512.00B
Tensor83                                                (8,)   512.00B
Tensor84                                              (8, 8)   512.00B
Tensor85                                                (8,)   512.00B
Tensor86                                              (2, 8)   512.00B
Tensor87                                                (2,)   512.00B
Tensor88                                              (8, 1)   512.00B
Tensor89                                                (8,)   512.00B
Tensor90                                              (8, 8)   512.00B
Tensor91                                                (8,)   512.00B
Tensor92                                              (2, 8)   512.00B
Tensor93                                                (2,)   512.00B
Tensor94                                                (1,)   512.00B
Parameter95                                           (8, 1)   512.00B
Parameter95.grad                                      (8, 1)     0.00B
Parameter96                                             (8,)   512.00B
Parameter96.grad                                        (8,)     0.00B
Parameter97                                           (8, 8)   512.00B
Parameter97.grad                                      (8, 8)     0.00B
Parameter98                                             (8,)   512.00B
Parameter98.grad                                        (8,)     0.00B
Parameter99                                           (2, 8)   512.00B
Parameter99.grad                                      (2, 8)     0.00B
Parameter100                                            (2,)   512.00B
Parameter100.grad                                       (2,)     0.00B
Parameter101                                          (8, 1)   512.00B
Parameter101.grad                                     (8, 1)     0.00B
Parameter102                                            (8,)   512.00B
Parameter102.grad                                       (8,)     0.00B
Parameter103                                          (8, 8)   512.00B
Parameter103.grad                                     (8, 8)     0.00B
Parameter104                                            (8,)   512.00B
